_id,mount,endtime,total,lat,lng,height,firstStartDate,lastcheck,yesterdaytotal,yesterdaytime,state,pasVersion,hasSign,checkSign,bts,udp,extra,satRate,averageRate,day14AverageRate,day7AverageRate,days,mp12,mp21,colorType,haveNft,currentAverageRate,day60AverageRate,hexagonId,isOwner,isRegisted,latFormat,lngFormat,status,color,weight,index_right,name,created_at,updated_at,cartodb_id
LERnSiYqpBGuKYf3Y,****B41B9,0,21692400,20.93,-89.13,15.18,1746975510693,1773756000,21638400,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9945254629629628,0.9898065476190476,0.9920138888888888,60.0,0.11567,0.142248,1.0,1.0,0.9964930555555556,0.9964930555555556,854509c7fffffff,,True,"N20°55'48.0""","W89°7'48.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
ff3ig5QdZ2qr4zWxE,****B76E9,0,18184560,18.51,-88.31,8.37,1749752240716,1773756000,18130560,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9994907407407408,0.999454365079365,0.999503968253968,60.0,0.115553,0.124385,1.0,1.0,0.9994444444444444,0.9994444444444444,854501b7fffffff,,True,"N18°30'36.0""","W88°18'36.0""",stable,#2185d0,,26,Quintana Roo,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,32
mKdxgZEAN4nSh9TMQ,****1C799,0,20809680,20.69,-88.2,14.94,1749752521942,1773756000,20755680,1773705600,100.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.9964930555555556,0.9984623015873016,0.9980158730158728,60.0,0.086753,0.117193,1.0,1.0,0.982800925925926,0.982800925925926,85450877fffffff,,True,"N20°41'24.0""","W88°12'0.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
Sdj8T2gknSEPkTtak,****1E941,0,21383280,21.15,-88.32,8.61,1749752365632,1773756000,21329280,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.998726851851852,0.9991071428571427,0.9990079365079364,60.0,0.220751,0.244355,1.0,1.0,0.9935890151515152,0.9935890151515152,85450b83fffffff,,True,"N21°8'60.0""","W88°19'12.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
MSFqTK6whx2X4vYxv,****28011,0,11361000,20.87,-89.26,6.32,1746975440459,1773756000,11307120,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,0.9916666666666668,0.9706200897867564,0.9817332551707552,0.9862614237614238,60.0,0.214099,0.207573,,,0.9646285423681256,0.9646285423681256,8545098bfffffff,,True,"N20°52'12.0""","W89°15'36.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
Pd87TfQ57dEepZSTq,****41BE5,0,18400800,30.84,-116.07,2.04,1745409206724,1773756000,18346800,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9989814814814816,0.9993551587301588,0.9989583333333332,60.0,0.12347,0.145247,1.0,1.0,0.9976215277777778,0.9976215277777778,85485d8bfffffff,,True,"N30°50'24.0""","W116°4'12.0""",stable,#2185d0,,0,Baja California,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,6
6GzLsm3b4FqhjJ4ab,****49AED,0,5385240,20.39,-89.28,22.72,1749752479046,1773756000,5331240,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9976967592592592,0.996626984126984,0.993501984126984,60.0,0.123341,0.113896,1.0,1.0,0.9613026094276094,0.9613026094276094,85450d77fffffff,,True,"N20°23'24.0""","W89°16'48.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
HaNRhq5rjheepfans,****4D239,0,22233960,21.17,-89.25,3.53,1745888472165,1773756000,22182600,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9165886794532628,0.9260248101765958,0.9307863928399642,60.0,0.161112,0.236268,1.0,1.0,0.9107234798380632,0.9107234798380632,85450903fffffff,,True,"N21°10'12.0""","W89°15'0.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
9eti7pvcMzDNiLRNi,****37C91,0,62102520,20.71,-103.38,1535.5,1710192795800,1773756000,62048520,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9988078703703704,0.9984126984126984,0.9969246031746032,60.0,0.094281,0.128372,1.0,1.0,0.9975636574074074,0.9975636574074074,85498c97fffffff,,True,"N20°42'36.0""","W103°22'48.0""",stable,#2185d0,,9,Jalisco,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,15
JvZkBrbNW4nTxSEbm,****179F9,0,10376640,20.76,-104.08,1404.23,1760712546989,1773756000,10322640,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9973611111111113,0.9979414682539682,0.9979662698412698,60.0,0.112622,0.150344,0.0,1.0,0.9955304783950616,0.9955304783950616,8549ab0ffffffff,,True,"N20°45'36.0""","W104°4'48.0""",stable,#2185d0,,9,Jalisco,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,15
